project,SA,description,NAME,quantity,VARL,EMUNT,VARW,EMUNT,VARX,EMUNT,VARY,EMUNT,VAR1,EMUNT,VAR2,EMUNT,VAR3,EMUNT,VAR4,EMUNT
talebi,2,‰„« “Ì—,"0,",1,VARL,1840,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,3,‰„« “Ì—,"0,",1,VARL,2140,VARW,348,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,16„Ì· Å‘  ÂÊ«ÌÌ,"16mmW,",1,VARL,488,VARW,918,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,»œ‰Â  —«”  ÌŒç«·,"BYR,",1,VARL,516,VARW,698,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,»œ‰Â çÅ ÌŒç«·,"BYL,",1,VARL,516,VARW,698,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6, «ﬁ »«·« ÌŒç«·,"TY,0",1,VARL,918,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,œ— ÂÊ«ÌÌ œÊ œ—,"DAR-W2,Q2H",2,VARL,514,VARW,469,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,6,ò› »«·« ÌŒç«·,"KY,0",1,VARL,918,VARW,498,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,418,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,»œ‰Â —«”  “„Ì‰Ì-L,"BZR-LF,E1M",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,444,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,œ” êÌ—Â L,"0,",1,VARL,450,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ÿ»ﬁÂ,"T,M",1,VARL,414,VARW,516,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,418,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,7,ò› “„Ì‰Ì,"KZ,P4",1,VARL,450,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,»œ‰Â —«”  “„Ì‰Ì-L,"BZR-LF,E1M",1,VARL,702,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,œ” êÌ—Â L,"0,",1,VARL,400,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,146,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,8,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,9,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,768,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
